Date,Open,High,Low,Close,Volume,Symbol,Source
2025-09-22 00:00:00+09:00,45193.76953125,45757.73828125,45193.76953125,45493.66015625,116600000,^N225,yfinance
2025-09-22 00:00:00+08:00,26459.51953125,26479.140625,26204.009765625,26344.140625,3298400000,^HSI,yfinance
2025-09-22 00:00:00+05:30,1403.9000244140625,1410.699951171875,1388.0,1390.5999755859375,7757970,RELIANCE,NSE
2025-09-22 00:00:00+05:30,1482.699951171875,1514.699951171875,1482.0,1499.5,15655204,INFY,NSE
2025-09-22 00:00:00+05:30,2569.0,2587.199951171875,2560.199951171875,2572.199951171875,1174161,HINDUNILVR,NSE
2025-09-22 00:00:00+05:30,410.6499938964844,411.0,406.0499877929688,406.9500122070313,8930779,ITC,NSE
2025-09-22 00:00:00+05:30,2032.0,2039.5999755859373,2017.4000244140625,2021.699951171875,2645982,KOTAKBANK,NSE
2025-09-22 00:00:00+05:30,1954.0,1966.0,1944.0,1956.199951171875,4469137,BHARTIARTL,NSE
2025-09-22 00:00:00+05:30,862.0,868.2000122070312,854.0,855.25,6594034,SBIN,NSE
2025-09-22 00:00:00+05:30,248.5500030517578,251.77999877929688,247.2100067138672,250.3300018310547,15784007,WIPRO,NSE
2025-09-22 00:00:00+05:30,2494.10009765625,2503.0,2474.10009765625,2482.699951171875,872806,ASIANPAINT,NSE
2025-09-22 00:00:00+05:30,15879.0,16000.0,15779.0,15816.0,302234,MARUTI,NSE
2025-09-22 00:00:00+05:30,1136.0,1147.5999755859375,1131.199951171875,1144.4000244140625,7689900,AXISBANK,NSE
2025-09-22 00:00:00+05:30,1198.9000244140625,1201.199951171875,1184.0,1188.300048828125,1107323,NESTLEIND,NSE
2025-09-22 00:00:00+05:30,287.0,289.0,285.8999938964844,286.6499938964844,9456933,POWERGRID,NSE
2025-09-22 00:00:00+05:30,339.1499938964844,340.3500061035156,336.8500061035156,339.20001220703125,6966213,NTPC,NSE
2025-09-22 00:00:00+05:30,1483.4674397678216,1494.3534583384994,1438.2410291190852,1489.8011474609375,5723501,TECHM,NSE
2025-09-22 00:00:00+05:30,3458.199951171875,3477.0,3440.0,3457.5,817833,TITAN,NSE
2025-09-22 00:00:00+05:30,964.0,971.2000122070312,961.9500122070312,964.2000122070312,10854415,HDFCBANK,NSE
2025-09-22 00:00:00+05:30,3083.499594330073,3095.355278998739,3053.6110683753386,3062.37841796875,3634901,TCS,NSE
2025-09-22 00:00:00+05:30,12547.0,12706.0,12542.0,12650.0,499548,ULTRACEMCO,NSE
2025-09-22 00:00:00+02:00,23567.490234375,23589.25,23424.439453125,23527.05078125,53681300,^GDAXI,yfinance
2025-09-22 00:00:00+01:00,9216.7001953125,9234.599609375,9194.2998046875,9226.7001953125,608280800,^FTSE,yfinance
2025-09-22 00:00:00+00:00,4451.58056640625,4457.08251953125,4092.396728515625,4202.87744140625,58221334533,ETH-USD,yfinance
2025-09-22 00:00:00+00:00,115309.21875,115431.3125,112037.6484375,112748.5078125,70684158591,BTC-USD,yfinance
2025-09-22 00:00:00-04:00,364.1600036621094,365.3800048828125,359.3599853515625,364.0799865722656,4709600,ADBE,yfinance
2025-09-22 00:00:00-04:00,22606.58984375,22801.900390625,22590.859375,22788.98046875,9736270000,^IXIC,yfinance
2025-09-22 00:00:00-04:00,46206.69140625,46447.12890625,46035.828125,46381.5390625,627450000,^DJI,yfinance
2025-09-22 00:00:00-04:00,781.8499755859375,785.72998046875,764.469970703125,765.1599731445312,11706900,META,yfinance
2025-09-22 00:00:00-04:00,175.3000030517578,184.5500030517578,174.7100067138672,183.6100006103516,269637000,NVDA,yfinance
2025-09-22 00:00:00-04:00,1221.9000244140625,1229.760009765625,1214.239990234375,1227.3699951171875,2546800,NFLX,yfinance
2025-09-22 00:00:00-04:00,3688.199951171875,3748.199951171875,3688.0,3740.699951171875,410,GC=F,yfinance
2025-09-22 00:00:00-04:00,515.5900268554688,517.739990234375,512.5399780273438,514.4500122070312,20009300,MSFT,yfinance
2025-09-22 00:00:00-04:00,230.55999755859372,230.57000732421875,227.50999450683597,227.6300048828125,45914500,AMZN,yfinance
2025-09-22 00:00:00-04:00,62.7400016784668,63.18000030517578,61.97999954223633,62.63999938964844,223779,CL=F,yfinance
2025-09-22 00:00:00-04:00,248.3000030517578,256.6400146484375,248.1199951171875,256.0799865722656,105517400,AAPL,yfinance
2025-09-22 00:00:00-04:00,245.27999877929688,250.47999572753903,243.16000366210935,249.69000244140625,7523800,CRM,yfinance
2025-09-22 00:00:00-04:00,431.1099853515625,444.9800109863281,429.1300048828125,434.2099914550781,97108800,TSLA,yfinance
2025-09-22 00:00:00-04:00,6654.27978515625,6698.8798828125,6648.06982421875,6693.75,5642620000,^GSPC,yfinance
2025-09-22 00:00:00-04:00,254.42999267578125,255.77999877929688,250.3000030517578,252.52999877929688,32290500,GOOGL,yfinance
2025-09-22 00:00:00-05:00,16.139999389648438,16.350000381469727,15.779999732971191,16.100000381469727,0,^VIX,yfinance
2025-09-23 00:00:00+08:00,26435.580078125,26454.08984375,26003.669921875,26159.119140625,3124500000,^HSI,yfinance
2025-09-23 00:00:00+05:30,339.45001220703125,344.1000061035156,338.1000061035156,343.0,10738268,NTPC,NSE
2025-09-23 00:00:00+05:30,1496.0357131949572,1496.0357131949572,1452.9864602836687,1456.648193359375,1380054,TECHM,NSE
2025-09-23 00:00:00+05:30,407.1000061035156,408.1000061035156,402.1000061035156,403.2000122070313,14936357,ITC,NSE
2025-09-23 00:00:00+05:30,1493.0,1513.0,1493.0,1497.5,9832164,INFY,NSE
