loss,mae,mse,val_loss,val_mae,val_mse,lr,epoch
0.18874074518680573,0.3617205023765564,0.18874074518680573,0.12435954064130783,0.32237768173217773,0.12435954064130783,0.001,1
0.06971998512744904,0.2292836457490921,0.06971998512744904,0.09593545645475388,0.27749261260032654,0.09593545645475388,0.001,2
0.06850829720497131,0.22715948522090912,0.06850829720497131,0.09844834357500076,0.2823566794395447,0.09844834357500076,0.001,3
0.06864359229803085,0.22751250863075256,0.06864359229803085,0.09943784028291702,0.28418537974357605,0.09943784028291702,0.001,4
0.06852782517671585,0.2273443639278412,0.06852782517671585,0.09718950092792511,0.2799537777900696,0.09718950092792511,0.001,5
0.06875842809677124,0.2274169623851776,0.06875842809677124,0.1028134822845459,0.29021769762039185,0.1028134822845459,0.001,6
0.06854241341352463,0.22718840837478638,0.06854241341352463,0.0965757668018341,0.2787565588951111,0.0965757668018341,0.001,7
0.06852702796459198,0.22729191184043884,0.06852702796459198,0.09704376012086868,0.27967068552970886,0.09704376012086868,0.0005,8
0.06854444742202759,0.2270791083574295,0.06854444742202759,0.09703853726387024,0.27966058254241943,0.09703853726387024,0.0005,9
0.06857681274414062,0.2274734079837799,0.06857681274414062,0.09612743556499481,0.27787405252456665,0.09612743556499481,0.0005,10
0.06859751790761948,0.2273126095533371,0.06859751790761948,0.0951286107301712,0.2758757472038269,0.0951286107301712,0.0005,11
0.06858427822589874,0.2271481156349182,0.06858427822589874,0.09676459431648254,0.2791270911693573,0.09676459431648254,0.0005,12
0.06858069449663162,0.22727330029010773,0.06858069449663162,0.0972525030374527,0.28007635474205017,0.0972525030374527,0.0005,13
0.06855051219463348,0.22737960517406464,0.06855051219463348,0.09594892710447311,0.27751943469047546,0.09594892710447311,0.0005,14
0.06854623556137085,0.22727200388908386,0.06854623556137085,0.09773717075586319,0.2810109257698059,0.09773717075586319,0.0005,15
0.06853898614645004,0.22686326503753662,0.06853898614645004,0.09946499019861221,0.2842351794242859,0.09946499019861221,0.0005,16
0.06868909299373627,0.2276751697063446,0.06868909299373627,0.0974554792046547,0.28046950697898865,0.0974554792046547,0.00025,17
0.06853638589382172,0.22726570069789886,0.06853638589382172,0.09665687382221222,0.27891597151756287,0.09665687382221222,0.00025,18
0.06852953881025314,0.2272413969039917,0.06852954626083374,0.09739237278699875,0.2803475260734558,0.09739237278699875,0.00025,19
0.06853718310594559,0.2272285521030426,0.06853718310594559,0.09757834672927856,0.2807062566280365,0.09757834672927856,0.00025,20
0.06853221356868744,0.22735495865345,0.06853221356868744,0.09636478126049042,0.2783421277999878,0.09636478126049042,0.00025,21
0.06851506978273392,0.22716017067432404,0.06851506978273392,0.09688957780599594,0.27937111258506775,0.09688957780599594,0.000125,22
0.06851880997419357,0.22722986340522766,0.06851880997419357,0.09752710908651352,0.2806076407432556,0.09752710908651352,0.000125,23
