Symbol,Mean_Volatility,Std_Volatility,Min_Volatility,Max_Volatility,AIC,BIC,Log_Likelihood
AAPL,15.429949170706662,0.706284560439022,15.018928302954643,18.121092941638956,1050.1291057736466,1061.442360722856,-521.0645528868233
ADBE,16.96115542573977,1.2696860558608742,16.021169181081465,23.5546135872439,1069.7029463791544,1081.0162013283636,-530.8514731895772
AMZN,10.979582509094602,7.626344918775623e-15,10.979582509094602,10.979582509094687,961.742513881347,973.0557688305562,-476.8712569406735
AXISBANK,12.651626993899368,2.820160789967925,11.003761902092448,31.764281355936674,984.9880010307144,996.2691272931345,-488.4940005153572
BHARTIARTL,16.66706429336526,1.11608161081235,15.098769091306385,18.960803481740253,1058.5565173662949,1069.837643628715,-525.2782586831474
BTC-USD,12.974180229008397,0.0355048584309911,12.938326551940719,13.171899979876368,1448.0557046541294,1460.8496927791928,-720.0278523270647
CL=F,12.959043722878691,2.1187660880282113,11.155344746456592,23.091023945664386,1016.7012136944734,1028.0779620403077,-504.3506068472367
CRM,18.53711360390945,1.1901386603411612,16.285636717562916,22.777096592782677,1090.2995685754968,1101.612823524706,-541.1497842877484
ETH-USD,11.441005252275913,0.8105336739509155,10.894559595490781,17.83200880701495,1401.9752135853441,1414.7692017104075,-696.9876067926721
GC=F,13.553223331135118,4.456745328658851,8.784558312088366,34.234439197184535,1021.0191694831597,1032.395917828994,-506.50958474157983
GOOGL,10.48605430977281,0.6559713589074262,10.042938484407957,12.73622903714083,953.9011058833679,965.2143608325771,-472.95055294168395
HDFCBANK,14.46778460825873,3.138147201273589,12.369662010679868,36.08703878435401,1018.2549792135998,1029.5361054760199,-505.1274896067999
HINDUNILVR,16.91284283366157,0.5416687350719714,15.119630915209115,17.316778495421303,1059.1983930693402,1070.4795193317605,-525.5991965346701
INFY,12.803380192175414,0.7371167635512379,12.35625556742846,15.523937587638008,996.546845975767,1007.8279722381872,-494.2734229878835
ITC,17.678749223964587,3.97099816267269,14.43685141591369,36.748237880156516,1067.1019206722397,1078.38304693466,-529.5509603361198
KOTAKBANK,12.114331593711317,0.019760563002637024,12.111207110516446,12.303677059523801,977.9966682273088,989.2777944897289,-484.9983341136544
META,12.795780695724726,0.785777527684957,12.436717393795812,19.544252722093905,999.2318255957421,1010.5450805449512,-495.61591279787103
MSFT,10.01459760965122,1.6552643414130208,9.297775378118185,17.627822951291886,947.3044040612692,958.6176590104784,-469.6522020306346
NFLX,13.084587799661552,1.4702987086610126,10.37690374255476,15.46144563348582,996.8675924880756,1008.1808474372848,-494.4337962440378
NVDA,17.73135168552125,2.321993971520414,16.12417621792638,26.878173505853,1079.7141945854391,1091.0274495346484,-535.8570972927196
RELIANCE,14.583531998358913,1.0228289711094125,13.783983055976027,17.76499158656564,1027.254113151375,1038.535239413795,-509.6270565756874
SBIN,14.72495121722611,1.1076968158950908,14.176298618886522,19.415370808072073,1031.8385947575484,1043.1197210199687,-511.9192973787742
TCS,13.879889123041615,0.3303633282876259,13.726387875036606,16.555919693952266,1012.1858832099435,1023.4670094723637,-502.09294160497177
TSLA,14.647466877897916,0.06908504025531291,14.592826046174425,15.17465094139926,1033.2029271033225,1044.5161820525318,-512.6014635516613
^DJI,14.619595338568713,1.393507223548063,12.886061216259137,17.761821838064453,1036.6618658385646,1047.975120787774,-514.3309329192823
^FTSE,21.326172989895873,0.03143504088287962,21.021892435206777,21.331089125373975,1136.188529099734,1147.53365672754,-564.094264549867
^GDAXI,15.91973304563508,0.05010963435357424,15.911937191815927,16.40742195835119,1079.4132263707556,1090.8213474264342,-535.7066131853778
^GSPC,11.45040454646531,0.9412197956703697,10.6979916580876,14.328416096824773,976.8177336058168,988.130988555026,-484.4088668029084
^HSI,20.085805076754113,0.8454904612222726,19.367893802039976,23.78211922345264,1103.6868774193451,1114.9680036817654,-547.8434387096726
^IXIC,11.470155412943253,0.7507775952962017,10.933466839031045,13.94938785421193,976.7347356898364,988.0479906390456,-484.3673678449182
^N225,14.76140822630581,2.6738235452245505,11.94234698856324,28.15290758458143,998.7216005762444,1009.9047627586314,-495.3608002881222
