Date,Open,High,Low,Close,Volume,Symbol,Source,Returns,MA_5,MA_10,MA_20,Volatility,Momentum
2025-04-28 00:00:00-04:00,0.23174693893585196,0.20071744279490078,0.20528512100574048,0.21526812981700116,0.061011823158185735,AAPL,yfinance,0.3717293641597762,0.20300150753800938,0.18938475437783486,0.17908406499914653,0.0,0.36460632717010233
2025-04-29 00:00:00-04:00,0.21286226784362716,0.2115820804340771,0.21843110620996464,0.23102952422453615,0.04662256113088856,AAPL,yfinance,0.42239027156051256,0.21160504658962997,0.1986495019840553,0.18881270571158026,0.0,0.36460632717010233
2025-04-30 00:00:00-04:00,0.22165593314214505,0.23125609717122098,0.1938721818362379,0.2500316570779142,0.1627500279822506,AAPL,yfinance,0.4324973634943312,0.22138791529758128,0.2091842143739404,0.19987489933045488,0.026433117085556245,0.36460632717010233
2025-05-01 00:00:00-04:00,0.21848451425177862,0.24564451271629606,0.22608787862334623,0.2621106911697706,0.20090504739704976,AAPL,yfinance,0.41012309692093185,0.22957608973774635,0.21800167531515058,0.20913385738726742,0.04144093775980236,0.36460632717010233
2025-05-02 00:00:00-04:00,0.1753814761649224,0.1345012726246151,0.12871847785104862,0.14470979810219742,0.5287661292321746,AAPL,yfinance,0.0,0.2088551414041926,0.1956882580899726,0.18570319003647695,0.7805281752440629,0.36460632717010233
2025-05-05 00:00:00-04:00,0.13227879765830686,0.0920701558810455,0.07165487288020911,0.049551776333844444,0.2884410393321519,AAPL,yfinance,0.0587341080143714,0.17267186772117782,0.16216761576733774,0.15050414312580251,0.7989701677851855,0.10935174038960199
2025-05-06 00:00:00-04:00,0.06178596723871843,0.041416651518102476,0.05446331652049752,0.04395399381639242,0.1547121734433793,AAPL,yfinance,0.35271901308123527,0.13182493273934437,0.1372841719409128,0.12437476594635566,0.726860706452467,0.07791178025857798
2025-05-07 00:00:00-04:00,0.07562496915247285,0.023651550889492334,0.0,0.010663590935575673,0.2848217511855836,AAPL,yfinance,0.25845705263990876,0.07956020408610076,0.11372945877434937,0.09964065000259614,0.6641762444788767,0.0
2025-05-08 00:00:00-04:00,0.05472237758768772,0.032607720588214484,0.020658492913386617,0.028929386916185962,0.14917131222106952,AAPL,yfinance,0.43459539120720586,0.028646321586101475,0.09779509667270991,0.08290844201836656,0.6487642738335831,0.010789034983764156
2025-05-09 00:00:00-04:00,0.07317452014799386,0.03980188746368096,0.06197560518696443,0.044248934136604134,0.0438153216531538,AAPL,yfinance,0.4241241260646077,0.006711232749690321,0.08684861183613313,0.07141385818667567,0.6270253239707686,0.20625594413521578
2025-05-12 00:00:00-04:00,0.24971830062511646,0.2014082407452067,0.19894472528820817,0.22891447091221506,0.24905780569575894,AAPL,yfinance,1.0,0.045874111548564134,0.08845291032301228,0.08273353785850679,1.0,0.6565076712834511
2025-05-13 00:00:00-04:00,0.24192350012096897,0.23272190356988887,0.2314919882733455,0.2604787181069024,0.1599164964569588,AAPL,yfinance,0.4727391305458614,0.09315111948091115,0.09191503228344367,0.09541374948491521,0.9543808757277336,0.7176610825493919
