Symbol,Sentiment_Returns_Correlation
AAPL,0.026916080237014462
ADBE,0.12745402190893584
AMZN,0.03301737841390654
AXISBANK,0.13288391310809516
BHARTIARTL,0.1207234264877051
BTC-USD,0.06908312333949525
CL=F,-0.09065899504715474
CRM,0.06836005864351184
ETH-USD,0.05068703390693718
GC=F,-0.05969752397291789
GOOGL,-0.003003811448660589
HDFCBANK,-0.006968338506743589
HINDUNILVR,0.019252997717583962
INFY,0.00047111660631823053
ITC,-0.032205964480498936
KOTAKBANK,0.12181683450962555
META,0.0512235311547417
MSFT,-0.07792549820158996
NFLX,-0.03780562886633163
NVDA,0.021450029742431886
RELIANCE,-0.03559485335737014
SBIN,0.025617655558838194
TCS,-0.026231977087870225
TSLA,-0.15090574149246458
^DJI,0.005897353756149099
^FTSE,0.11411940248768532
^GDAXI,-0.026208309040844514
^GSPC,-0.012586028247308784
^HSI,-0.05551826404197957
^IXIC,0.015730703234798464
^N225,0.13366405079409277
