Date,Open,High,Low,Close,Volume,Symbol,Source
2025-04-28 00:00:00+09:00,35962.80078125,36075.26171875,35773.48828125,35839.98828125,132400000,^N225,yfinance
2025-04-30 00:00:00+09:00,35946.87890625,36056.51953125,35793.328125,36045.37890625,167100000,^N225,yfinance
2025-05-01 00:00:00+09:00,36197.0390625,36544.1484375,36040.05078125,36452.30078125,131600000,^N225,yfinance
2025-05-02 00:00:00+09:00,36636.55078125,36976.51171875,36606.578125,36830.69140625,141000000,^N225,yfinance
2025-05-07 00:00:00+09:00,36903.66015625,36942.37890625,36731.390625,36779.66015625,156300000,^N225,yfinance
2025-05-08 00:00:00+09:00,36863.37890625,36977.3515625,36606.7109375,36928.62890625,137300000,^N225,yfinance
2025-05-09 00:00:00+09:00,37332.5703125,37557.41015625,37219.03125,37503.328125,201400000,^N225,yfinance
2025-05-12 00:00:00+09:00,37697.28125,37726.44140625,37417.390625,37644.26171875,142900000,^N225,yfinance
2025-05-13 00:00:00+09:00,38149.53125,38494.05859375,38124.19921875,38183.26171875,177400000,^N225,yfinance
2025-05-14 00:00:00+09:00,38199.03125,38325.87890625,37851.80078125,38128.12890625,152100000,^N225,yfinance
2025-05-15 00:00:00+09:00,37832.359375,37876.83984375,37633.359375,37755.51171875,134800000,^N225,yfinance
2025-05-16 00:00:00+09:00,37748.578125,37786.4296875,37479.2109375,37753.71875,128100000,^N225,yfinance
2025-05-19 00:00:00+09:00,37572.359375,37656.23046875,37445.9296875,37498.62890625,107600000,^N225,yfinance
2025-05-20 00:00:00+09:00,37723.6015625,37921.80859375,37455.69921875,37529.48828125,125800000,^N225,yfinance
2025-05-21 00:00:00+09:00,37590.1484375,37659.94140625,37298.98046875,37298.98046875,121300000,^N225,yfinance
2025-05-22 00:00:00+09:00,36931.890625,37100.44921875,36855.828125,36985.87109375,110900000,^N225,yfinance
2025-05-23 00:00:00+09:00,37161.73828125,37373.91015625,37111.62890625,37160.46875,105300000,^N225,yfinance
2025-05-26 00:00:00+09:00,37209.26171875,37531.53125,37167.01171875,37531.53125,89900000,^N225,yfinance
2025-05-27 00:00:00+09:00,37523.37109375,37769.05078125,37411.6796875,37724.109375,86200000,^N225,yfinance
2025-05-28 00:00:00+09:00,38094.7890625,38178.73046875,37709.7109375,37722.3984375,122600000,^N225,yfinance
2025-05-29 00:00:00+09:00,38046.96875,38454.0703125,38035.3203125,38432.98046875,133200000,^N225,yfinance
2025-05-30 00:00:00+09:00,37912.48828125,38114.46875,37748.171875,37965.1015625,204300000,^N225,yfinance
2025-06-02 00:00:00+09:00,37651.1796875,37651.1796875,37320.71875,37470.671875,109600000,^N225,yfinance
2025-06-03 00:00:00+09:00,37598.30859375,37729.44921875,37446.80859375,37446.80859375,109300000,^N225,yfinance
2025-06-04 00:00:00+09:00,37686.66015625,37868.421875,37672.46875,37747.44921875,106700000,^N225,yfinance
2025-06-05 00:00:00+09:00,37590.390625,37732.87890625,37527.87890625,37554.48828125,113800000,^N225,yfinance
2025-06-06 00:00:00+09:00,37590.44140625,37756.1484375,37590.421875,37741.609375,98100000,^N225,yfinance
2025-06-09 00:00:00+09:00,38028.7109375,38178.01171875,38018.21875,38088.5703125,85700000,^N225,yfinance
2025-06-10 00:00:00+09:00,38278.171875,38495.69921875,38139.1015625,38211.51171875,106000000,^N225,yfinance
2025-06-11 00:00:00+09:00,38431.1015625,38529.640625,38288.28125,38421.19140625,109300000,^N225,yfinance
2025-06-12 00:00:00+09:00,38324.9296875,38407.5703125,38102.05078125,38173.08984375,104500000,^N225,yfinance
2025-06-13 00:00:00+09:00,38130.25,38141.58984375,37540.19921875,37834.25,143500000,^N225,yfinance
2025-06-16 00:00:00+09:00,38056.859375,38342.51953125,38055.51953125,38311.328125,104700000,^N225,yfinance
2025-06-17 00:00:00+09:00,38366.6796875,38581.25,38333.3515625,38536.73828125,103600000,^N225,yfinance
2025-06-18 00:00:00+09:00,38364.16015625,38885.1484375,38364.16015625,38885.1484375,110000000,^N225,yfinance
2025-06-19 00:00:00+09:00,38858.51953125,38870.55078125,38488.33984375,38488.33984375,89300000,^N225,yfinance
2025-06-20 00:00:00+09:00,38472.25,38646.16015625,38362.5390625,38403.23046875,183900000,^N225,yfinance
2025-06-23 00:00:00+09:00,38260.69140625,38368.21875,38026.3203125,38354.08984375,95800000,^N225,yfinance
2025-06-24 00:00:00+09:00,38779.1796875,38990.109375,38665.609375,38790.55859375,100800000,^N225,yfinance
2025-06-25 00:00:00+09:00,38904.1796875,38944.76953125,38711.109375,38942.0703125,102900000,^N225,yfinance
2025-06-26 00:00:00+09:00,39072.140625,39615.58984375,39056.140625,39584.578125,123600000,^N225,yfinance
2025-06-27 00:00:00+09:00,39866.359375,40267.83984375,39847.30859375,40150.7890625,156100000,^N225,yfinance
2025-06-30 00:00:00+09:00,40550.7890625,40852.5390625,40322.5390625,40487.390625,143900000,^N225,yfinance
2025-07-01 00:00:00+09:00,40340.640625,40345.87109375,39885.37890625,39986.328125,124000000,^N225,yfinance
2025-07-02 00:00:00+09:00,39631.171875,39943.62109375,39444.69921875,39762.48046875,127600000,^N225,yfinance
2025-07-03 00:00:00+09:00,39796.75,39865.890625,39667.8203125,39785.8984375,135400000,^N225,yfinance
2025-07-04 00:00:00+09:00,39994.640625,40012.66015625,39693.3984375,39810.87890625,96600000,^N225,yfinance
2025-07-07 00:00:00+09:00,39729.55859375,39829.37890625,39524.25,39587.6796875,93400000,^N225,yfinance
2025-07-08 00:00:00+09:00,39542.0703125,39816.26953125,39510.48046875,39688.80859375,136600000,^N225,yfinance
2025-07-09 00:00:00+09:00,39942.80078125,39971.05859375,39573.33984375,39821.28125,129000000,^N225,yfinance
2025-07-10 00:00:00+09:00,39795.75,39795.75,39530.94921875,39646.359375,129300000,^N225,yfinance
2025-07-11 00:00:00+09:00,39886.5390625,39957.80078125,39497.69921875,39569.6796875,115900000,^N225,yfinance
2025-07-14 00:00:00+09:00,39416.1015625,39608.01953125,39288.8984375,39459.62109375,91500000,^N225,yfinance
2025-07-15 00:00:00+09:00,39525.828125,39678.01953125,39379.3203125,39678.01953125,98800000,^N225,yfinance
2025-07-16 00:00:00+09:00,39734.73828125,39923.609375,39520.9609375,39663.3984375,96400000,^N225,yfinance
2025-07-17 00:00:00+09:00,39492.01953125,39910.9609375,39370.4296875,39901.19140625,101500000,^N225,yfinance
2025-07-18 00:00:00+09:00,40072.390625,40087.58984375,39745.421875,39819.109375,92000000,^N225,yfinance
2025-07-22 00:00:00+09:00,39864.62890625,40275.890625,39586.53125,39774.921875,112100000,^N225,yfinance
2025-07-23 00:00:00+09:00,40189.1796875,41342.58984375,40087.859375,41171.3203125,221100000,^N225,yfinance
2025-07-24 00:00:00+09:00,41657.98046875,42065.828125,41554.1796875,41826.33984375,149400000,^N225,yfinance
2025-07-25 00:00:00+09:00,41760.578125,41773.69921875,41389.7890625,41456.23046875,117500000,^N225,yfinance
2025-07-28 00:00:00+09:00,41515.91015625,41534.2109375,40997.87109375,40998.26953125,106500000,^N225,yfinance
2025-07-29 00:00:00+09:00,40767.76953125,40792.8515625,40563.53125,40674.55078125,101000000,^N225,yfinance
2025-07-30 00:00:00+09:00,40744.53125,40744.53125,40556.609375,40654.69921875,123700000,^N225,yfinance
2025-07-31 00:00:00+09:00,40693.0,41151.25,40639.3203125,41069.8203125,134800000,^N225,yfinance
2025-08-01 00:00:00+09:00,41029.83984375,41064.73046875,40588.171875,40799.6015625,148400000,^N225,yfinance
2025-08-04 00:00:00+09:00,40118.80859375,40332.25,39850.51953125,40290.69921875,130800000,^N225,yfinance
2025-08-05 00:00:00+09:00,40521.0,40649.37890625,40421.87890625,40549.5390625,145300000,^N225,yfinance
2025-08-06 00:00:00+09:00,40430.4609375,40850.890625,40423.12890625,40794.859375,145500000,^N225,yfinance
2025-08-07 00:00:00+09:00,40668.19140625,41164.109375,40668.19140625,41059.1484375,154000000,^N225,yfinance
2025-08-08 00:00:00+09:00,41283.69921875,42033.921875,41248.05078125,41820.48046875,183300000,^N225,yfinance
2025-08-12 00:00:00+09:00,42098.3203125,42999.7109375,42083.578125,42718.171875,176100000,^N225,yfinance
2025-08-13 00:00:00+09:00,43090.91015625,43451.4609375,43008.19921875,43274.671875,154100000,^N225,yfinance
2025-08-14 00:00:00+09:00,43129.1796875,43199.828125,42606.73046875,42649.26171875,127800000,^N225,yfinance
2025-08-15 00:00:00+09:00,42866.37890625,43405.4296875,42736.859375,43378.30859375,134500000,^N225,yfinance
2025-08-18 00:00:00+09:00,43452.8984375,43835.12109375,43390.21875,43714.30859375,124200000,^N225,yfinance
2025-08-19 00:00:00+09:00,43846.55078125,43876.421875,43411.96875,43546.2890625,117100000,^N225,yfinance
2025-08-20 00:00:00+09:00,43400.66015625,43425.78125,42724.1484375,42888.55078125,116700000,^N225,yfinance
2025-08-21 00:00:00+09:00,42783.26171875,42926.109375,42564.30078125,42610.171875,103100000,^N225,yfinance
2025-08-22 00:00:00+09:00,42629.80859375,42720.5703125,42331.390625,42633.2890625,97800000,^N225,yfinance
2025-08-25 00:00:00+09:00,42977.26953125,43201.421875,42681.37109375,42807.8203125,102200000,^N225,yfinance
2025-08-26 00:00:00+09:00,42619.66015625,42703.26953125,42137.62109375,42394.3984375,162600000,^N225,yfinance
2025-08-27 00:00:00+09:00,42476.08984375,42628.0390625,42270.1796875,42520.26953125,108400000,^N225,yfinance
2025-08-28 00:00:00+09:00,42308.140625,42828.7890625,42299.7890625,42828.7890625,112700000,^N225,yfinance
2025-08-29 00:00:00+09:00,42774.2890625,42807.03125,42611.30859375,42718.46875,114900000,^N225,yfinance
2025-09-01 00:00:00+09:00,42362.7109375,42454.98828125,41835.171875,42188.7890625,96600000,^N225,yfinance
2025-09-02 00:00:00+09:00,42299.62890625,42473.671875,42084.78125,42310.48828125,99800000,^N225,yfinance
2025-09-03 00:00:00+09:00,42085.66015625,42293.5390625,41863.19921875,41938.890625,130200000,^N225,yfinance
2025-09-04 00:00:00+09:00,42093.69921875,42608.80078125,42066.58984375,42580.26953125,110300000,^N225,yfinance
2025-09-05 00:00:00+09:00,42983.46875,43220.94140625,42783.5390625,43018.75,118300000,^N225,yfinance
2025-09-08 00:00:00+09:00,43451.0703125,43838.6015625,43343.578125,43643.80859375,115500000,^N225,yfinance
2025-09-09 00:00:00+09:00,43907.55078125,44185.73046875,43452.73828125,43459.2890625,117500000,^N225,yfinance
2025-09-10 00:00:00+09:00,43513.16015625,43848.76953125,43509.01953125,43837.671875,115700000,^N225,yfinance
2025-09-11 00:00:00+09:00,43876.21875,44396.94921875,43870.5390625,44372.5,107300000,^N225,yfinance
2025-09-12 00:00:00+09:00,44803.30078125,44888.01953125,44548.5703125,44768.12109375,124900000,^N225,yfinance
2025-09-16 00:00:00+09:00,44948.8515625,45055.37890625,44616.3203125,44902.26953125,111700000,^N225,yfinance
2025-09-17 00:00:00+09:00,44751.83984375,45033.33984375,44612.0703125,44790.37890625,104600000,^N225,yfinance
2025-09-18 00:00:00+09:00,44910.5,45508.671875,44815.3984375,45303.4296875,113700000,^N225,yfinance
2025-09-19 00:00:00+09:00,45634.2890625,45852.75,44495.4609375,45045.80859375,208600000,^N225,yfinance
2025-09-22 00:00:00+09:00,45193.76953125,45757.73828125,45193.76953125,45493.66015625,116600000,^N225,yfinance
2025-09-24 00:00:00+09:00,45484.41015625,45693.28125,45205.46875,45630.30859375,131700000,^N225,yfinance
2025-09-25 00:00:00+09:00,45600.0703125,45824.69140625,45503.30859375,45754.9296875,127200000,^N225,yfinance
2025-09-26 00:00:00+09:00,45634.19921875,45766.76953125,45354.98828125,45354.98828125,147500000,^N225,yfinance
2025-09-29 00:00:00+09:00,45113.2890625,45152.69921875,44890.19921875,45043.75,130500000,^N225,yfinance
2025-09-30 00:00:00+09:00,45054.9609375,45126.23046875,44733.6015625,44932.62890625,160600000,^N225,yfinance
2025-10-01 00:00:00+09:00,44831.94921875,44874.421875,44357.6484375,44550.8515625,136700000,^N225,yfinance
