Date,Open,High,Low,Close,Volume,Symbol,Source
2025-04-28 00:00:00-04:00,40171.73828125,40414.1796875,39869.1015625,40227.58984375,475930000,^DJI,yfinance
2025-04-29 00:00:00-04:00,40233.98046875,40630.48828125,40222.1796875,40527.62109375,434830000,^DJI,yfinance
2025-04-30 00:00:00-04:00,40290.41015625,40777.16015625,39745.62890625,40669.359375,599760000,^DJI,yfinance
2025-05-01 00:00:00-04:00,40918.0390625,41099.51953125,40705.62890625,40752.9609375,597270000,^DJI,yfinance
2025-05-02 00:00:00-04:00,40960.421875,41386.19140625,40960.421875,41317.4296875,589870000,^DJI,yfinance
2025-05-05 00:00:00-04:00,41173.37890625,41445.91015625,41063.44140625,41218.828125,413440000,^DJI,yfinance
2025-05-06 00:00:00-04:00,41000.19140625,41164.328125,40759.41015625,40829.0,416110000,^DJI,yfinance
2025-05-07 00:00:00-04:00,40956.078125,41266.91015625,40829.2890625,41113.96875,533870000,^DJI,yfinance
2025-05-08 00:00:00-04:00,41312.5703125,41773.21875,41167.76171875,41368.44921875,514850000,^DJI,yfinance
2025-05-09 00:00:00-04:00,41405.48046875,41512.4296875,41150.73046875,41249.37890625,373930000,^DJI,yfinance
2025-05-12 00:00:00-04:00,41899.05078125,42418.05078125,41899.05078125,42410.1015625,653810000,^DJI,yfinance
2025-05-13 00:00:00-04:00,42507.328125,42507.328125,42132.0390625,42140.4296875,729860000,^DJI,yfinance
2025-05-14 00:00:00-04:00,42150.08984375,42254.75,41952.859375,42051.05859375,660230000,^DJI,yfinance
2025-05-15 00:00:00-04:00,41777.98046875,42351.421875,41777.98046875,42322.75,736430000,^DJI,yfinance
2025-05-16 00:00:00-04:00,42356.19921875,42663.6796875,42232.55859375,42654.73828125,621250000,^DJI,yfinance
2025-05-19 00:00:00-04:00,42542.80859375,42842.0390625,42337.7109375,42792.0703125,536830000,^DJI,yfinance
2025-05-20 00:00:00-04:00,42735.109375,42800.0390625,42485.37109375,42677.23828125,441530000,^DJI,yfinance
2025-05-21 00:00:00-04:00,42354.4609375,42439.26953125,41785.21875,41860.44140625,607900000,^DJI,yfinance
2025-05-22 00:00:00-04:00,41763.6796875,42090.421875,41714.4296875,41859.08984375,476080000,^DJI,yfinance
2025-05-23 00:00:00-04:00,41525.69921875,41788.609375,41354.08984375,41603.0703125,497060000,^DJI,yfinance
2025-05-27 00:00:00-04:00,41849.0390625,42350.66015625,41849.0390625,42343.6484375,501340000,^DJI,yfinance
2025-05-28 00:00:00-04:00,42361.62890625,42448.71875,42042.26171875,42098.69921875,518840000,^DJI,yfinance
2025-05-29 00:00:00-04:00,42190.01953125,42266.0,41828.3515625,42215.73046875,665310000,^DJI,yfinance
2025-05-30 00:00:00-04:00,42192.3515625,42376.078125,41906.16015625,42270.0703125,796200000,^DJI,yfinance
2025-06-02 00:00:00-04:00,42199.94140625,42317.0,41853.62109375,42305.48046875,454680000,^DJI,yfinance
2025-06-03 00:00:00-04:00,42304.5,42568.37890625,42186.44140625,42519.640625,504410000,^DJI,yfinance
2025-06-04 00:00:00-04:00,42574.12890625,42645.0,42427.73828125,42427.73828125,409600000,^DJI,yfinance
2025-06-05 00:00:00-04:00,42487.890625,42601.44921875,42211.69140625,42319.73828125,532850000,^DJI,yfinance
2025-06-06 00:00:00-04:00,42631.8203125,42924.55859375,42582.55078125,42762.87109375,414540000,^DJI,yfinance
2025-06-09 00:00:00-04:00,42786.19140625,42893.08984375,42567.55078125,42761.76171875,485780000,^DJI,yfinance
2025-06-10 00:00:00-04:00,42738.26953125,42925.94140625,42710.08984375,42866.87109375,446850000,^DJI,yfinance
2025-06-11 00:00:00-04:00,42882.859375,43115.69140625,42738.62109375,42865.76953125,467260000,^DJI,yfinance
2025-06-12 00:00:00-04:00,42737.359375,42970.3984375,42606.421875,42967.62109375,455760000,^DJI,yfinance
2025-06-13 00:00:00-04:00,42579.48046875,42602.48046875,42081.08984375,42197.7890625,485930000,^DJI,yfinance
2025-06-16 00:00:00-04:00,42300.12890625,42707.73046875,42300.12890625,42515.08984375,467040000,^DJI,yfinance
2025-06-17 00:00:00-04:00,42358.62109375,42530.828125,42132.6484375,42215.80078125,423070000,^DJI,yfinance
2025-06-18 00:00:00-04:00,42236.03125,42510.0703125,42118.23046875,42171.66015625,485440000,^DJI,yfinance
